date,bank_rate_monthly_avg,bank_rate_end_month,gilt_yield,,,,,
1/31/70,,8,8.279691142,,,,,
2/28/70,,8,8.049073711,,,,,
3/31/70,,7.5,7.845220419,,,,,
4/30/70,,7,8.04160154,,,,,
5/31/70,,7,7.630167814,,,,,
6/30/70,,7,7.373654217,,,,,
7/31/70,,7,7.559915138,,,,,
8/31/70,,7,7.678102406,,,,,
9/30/70,,7,7.614256164,,,,,
10/31/70,,7,7.764319845,,,,,
11/30/70,,7,8.012313426,,,,,
12/31/70,,7,7.868071158,,,,,
1/31/71,,7,8.408105366,,,,,
2/28/71,,7,8.343629491,,,,,
3/31/71,,7,7.987169111,,,,,
4/30/71,,6,7.941404327,,,,,
5/31/71,,6,8.478093162,,,,,
6/30/71,,6,8.007948102,,,,,
7/31/71,,6,8.215772144,,,,,
8/31/71,,6,8.009420788,,,,,
9/30/71,,5,7.439014607,,,,,
10/31/71,,5,7.277804464,,,,,
11/30/71,,5,6.951382569,,,,,
12/31/71,,5,7.359794163,,,,,
1/31/72,,5,6.628667319,,,,,
2/29/72,,5,6.826997037,,,,,
3/31/72,,5,7.302569622,,,,,
4/30/72,,5,7.308615048,,,,,
5/31/72,,5,8.421004687,,,,,
6/30/72,,6,8.410275011,,,,,
7/31/72,,6,8.795338985,,,,,
8/31/72,,6,9.298332334,,,,,
9/30/72,,6,9.068399006,,,,,
10/31/72,,7.5,9.170025405,,,,,
11/30/72,,,9.280704548,,,,,
12/31/72,,9,9.382489853,,,,,
1/31/73,,8.75,9.454429807,,,,,
2/28/73,,,9.608590719,,,,,
3/31/73,,8.5,9.805770916,,,,,
4/30/73,,8.25,9.847998153,,,,,
5/31/73,,7.75,9.49867364,,,,,
6/30/73,,7.5,9.693714652,,,,,
7/31/73,,11.5,10.37367835,,,,,
8/31/73,,11.5,10.8423347,,,,,
9/30/73,,11.5,11.05966214,,,,,
10/31/73,,11.25,11.06770114,,,,,
11/30/73,,13,12.0106034,,,,,
12/31/73,,13,11.94044209,,,,,
1/31/74,,12.75,12.69005063,,,,,
2/28/74,,12.5,12.62410364,,,,,
3/31/74,,12.5,13.11020901,,,,,
4/30/74,,12.25,13.04102537,,,,,
5/31/74,,11.75,12.84178955,,,,,
6/30/74,,11.75,13.51945655,,,,,
7/31/74,,11.75,13.30711134,,,,,
8/31/74,,11.75,14.31020929,,,,,
9/30/74,,11.5,13.73812836,,,,,
10/31/74,,11.5,14.89101152,,,,,
11/30/74,,11.5,15.43663242,,,,,
12/31/74,,11.5,15.93071621,,,,,
1/31/75,11.3295,11,13.01730585,,,,,
2/28/75,10.6875,10.5,13.04156914,,,,,
3/31/75,10.2632,10,11.96245616,,,,,
4/30/75,9.9091,9.75,13.10292444,,,,,
5/31/75,9.9762,10,12.88449114,,,,,
6/30/75,10,10,12.78462276,,,,,
7/31/75,10.1739,11,12.23099177,,,,,
8/31/75,11,11,12.99091451,,,,,
9/30/75,11,11,13.03314489,,,,,
10/31/75,11.8696,12,13.62819836,,,,,
11/30/75,11.875,11.75,13.43318111,,,,,
12/31/75,11.4643,11.25,13.28071358,,,,,
1/31/76,10.8333,10.5,11.87102123,,,,,
2/29/76,9.625,9.5,12.63445119,,,,,
3/31/76,9.0543,9,12.72699943,,,,,
4/30/76,9.375,10.5,12.44556371,,,,,
5/31/76,10.75,11.5,12.61492288,,,,,
6/30/76,11.5,11.5,13.02656265,,,,,
7/31/76,11.5,11.5,13.09464132,,,,,
8/31/76,11.5,11.5,13.4071626,,,,,
9/30/76,12.4545,13,13.88074198,,,,,
10/31/76,14.619,15,14.65906823,,,,,
11/30/76,14.9205,14.75,14.01598481,,,,,
12/31/76,14.619,14.25,14.12648844,,,,,
1/31/77,13.775,12.25,12.90040765,,,,,
2/28/77,12.025,12,13.03482913,,,,,
3/31/77,11.0652,9.5,11.39816627,,,,,
4/30/77,9.1184,8.75,11.94164782,,,,,
5/31/77,8.119,8,11.99805335,,,,,
6/30/77,8,8,12.6073784,,,,,
7/31/77,8,8,12.72311467,,,,,
