Date,"Monthly average yield from British Government Securities, 10 year Nominal Par Yield              [a] [b] [c]             IUMAMNPY","End month level of yield from British Government Stock, 10 year Nominal Par Yield              [a] [c]             IUMMNPY"
31-Mar-22,1.5457,1.6696
28-Feb-22,1.4891,1.4233
31-Jan-22,1.2051,1.3348
31-Dec-21,0.8375,1.013
30-Nov-21,0.9394,0.841
31-Oct-21,1.083,1.0507
30-Sep-21,0.8023,1.0313
31-Aug-21,0.644,0.7103
31-Jul-21,0.6979,0.6471
30-Jun-21,0.8549,0.8229
31-May-21,0.9058,0.8741
30-Apr-21,0.8515,0.9139
31-Mar-21,0.8456,0.9108
28-Feb-21,0.6222,0.8767
31-Jan-21,0.3672,0.4196
31-Dec-20,0.3224,0.2513
30-Nov-20,0.3836,0.3639
31-Oct-20,0.3058,0.3074
30-Sep-20,0.273,0.2774
31-Aug-20,0.2717,0.3763
31-Jul-20,0.2094,0.1702
30-Jun-20,0.278,0.2074
31-May-20,0.2743,0.2292
30-Apr-20,0.3577,0.325
31-Mar-20,0.4609,0.419
29-Feb-20,0.633,0.5035
31-Jan-20,0.7235,0.6128
31-Dec-19,0.8308,0.9129
30-Nov-19,0.765,0.7387
31-Oct-19,0.6373,0.653
30-Sep-19,0.5981,0.5092
31-Aug-19,0.5776,0.5161
31-Jul-19,0.8304,0.7313
30-Jun-19,0.919,0.9509
31-May-19,1.13,0.9775
30-Apr-19,1.1906,1.2238
31-Mar-19,1.19,1.0945
28-Feb-19,1.239,1.3366
31-Jan-19,1.3221,1.2531
31-Dec-18,1.3125,1.3339
30-Nov-18,1.4541,1.43
31-Oct-18,1.5462,1.431
30-Sep-18,1.5023,1.5588
31-Aug-18,1.3991,1.408
31-Jul-18,1.3739,1.4297
30-Jun-18,1.4229,1.3821
31-May-18,1.5016,1.3247
30-Apr-18,1.5108,1.4902
31-Mar-18,1.508,1.4096
28-Feb-18,1.6034,1.5533
31-Jan-18,1.3931,1.5281
31-Dec-17,1.2781,1.2536
30-Nov-17,1.3299,1.3711
31-Oct-17,1.3816,1.376
30-Sep-17,1.2436,1.3828
31-Aug-17,1.1241,1.0688
31-Jul-17,1.2713,1.2454
30-Jun-17,1.0846,1.284
31-May-17,1.1175,1.0607
30-Apr-17,1.0789,1.1015
31-Mar-17,1.194,1.122
28-Feb-17,1.3058,1.1227
31-Jan-17,1.4203,1.4604
31-Dec-16,1.4336,1.2817
30-Nov-16,1.3818,1.4528
31-Oct-16,1.078,1.2705
30-Sep-16,0.8243,0.8233
31-Aug-16,0.7421,0.7286
31-Jul-16,0.9569,0.8623
30-Jun-16,1.3105,1.0416
31-May-16,1.5366,1.5465
30-Apr-16,1.5688,1.678
31-Mar-16,1.5434,1.4963
29-Feb-16,1.5032,1.4032
31-Jan-16,1.7833,1.6305
31-Dec-15,1.9234,2.0248
30-Nov-15,1.9779,1.8788
31-Oct-15,1.846,1.9393
30-Sep-15,1.8814,1.8137
31-Aug-15,1.9799,1.9884
31-Jul-15,2.1353,2.016
30-Jun-15,2.1696,2.1373
31-May-15,2.0243,1.9324
30-Apr-15,1.755,1.9531
31-Mar-15,1.7941,1.6969
28-Feb-15,1.7365,1.8615
31-Jan-15,1.589,1.3979
31-Dec-14,1.9287,1.8155
30-Nov-14,2.1593,1.9575
31-Oct-14,2.2469,2.284
30-Sep-14,2.4919,2.4504
31-Aug-14,2.5347,2.375
31-Jul-14,2.7343,2.7179
30-Jun-14,2.7842,2.7673
31-May-14,2.6989,2.6507
30-Apr-14,2.7417,2.7658
31-Mar-14,2.7837,2.7899
28-Feb-14,2.8147,2.8093
31-Jan-14,2.91,2.7847
31-Dec-13,2.9458,3.0466
30-Nov-13,2.7598,2.7939
31-Oct-13,2.6784,2.6283
30-Sep-13,2.8443,2.6788
31-Aug-13,2.7088,2.7429
31-Jul-13,2.471,2.4734
30-Jun-13,2.3063,2.5351
31-May-13,1.9462,2.0944
30-Apr-13,1.7824,1.7478
31-Mar-13,1.9768,1.8401
28-Feb-13,2.1781,2.0514
31-Jan-13,2.0795,2.1341
31-Dec-12,1.8467,1.8378
30-Nov-12,1.7741,1.7501
31-Oct-12,1.7721,1.8304
30-Sep-12,1.7222,1.6637
31-Aug-12,1.6735,1.6
31-Jul-12,1.6523,1.575
30-Jun-12,1.7698,1.8224
31-May-12,1.9416,1.6511
30-Apr-12,2.2117,2.2154
31-Mar-12,2.323,2.2792
29-Feb-12,2.2191,2.1951
31-Jan-12,2.1104,2.043
