Date,Monthly average of official Bank Rate              [a] [b]             IUMABEDR,End month official Bank Rate              [a] [b]             IUMBEDR
31-Mar-12,0.5,0.5
29-Feb-12,0.5,0.5
31-Jan-12,0.5,0.5
31-Dec-11,0.5,0.5
30-Nov-11,0.5,0.5
31-Oct-11,0.5,0.5
30-Sep-11,0.5,0.5
31-Aug-11,0.5,0.5
31-Jul-11,0.5,0.5
30-Jun-11,0.5,0.5
31-May-11,0.5,0.5
30-Apr-11,0.5,0.5
31-Mar-11,0.5,0.5
28-Feb-11,0.5,0.5
31-Jan-11,0.5,0.5
31-Dec-10,0.5,0.5
30-Nov-10,0.5,0.5
31-Oct-10,0.5,0.5
30-Sep-10,0.5,0.5
31-Aug-10,0.5,0.5
31-Jul-10,0.5,0.5
30-Jun-10,0.5,0.5
31-May-10,0.5,0.5
30-Apr-10,0.5,0.5
31-Mar-10,0.5,0.5
28-Feb-10,0.5,0.5
31-Jan-10,0.5,0.5
31-Dec-09,0.5,0.5
30-Nov-09,0.5,0.5
31-Oct-09,0.5,0.5
30-Sep-09,0.5,0.5
31-Aug-09,0.5,0.5
31-Jul-09,0.5,0.5
30-Jun-09,0.5,0.5
31-May-09,0.5,0.5
30-Apr-09,0.5,0.5
31-Mar-09,0.5682,0.5
28-Feb-09,1.075,1
31-Jan-09,1.5952,1.5
31-Dec-08,2.1429,2
30-Nov-08,3.225,3
31-Oct-08,4.6087,4.5
30-Sep-08,5,5
31-Aug-08,5,5
31-Jul-08,5,5
30-Jun-08,5,5
31-May-08,5,5
30-Apr-08,5.0795,5
31-Mar-08,5.25,5.25
29-Feb-08,5.2976,5.25
31-Jan-08,5.5,5.5
31-Dec-07,5.5395,5.5
30-Nov-07,5.75,5.75
31-Oct-07,5.75,5.75
30-Sep-07,5.75,5.75
31-Aug-07,5.75,5.75
31-Jul-07,5.7159,5.75
30-Jun-07,5.5,5.5
31-May-07,5.4286,5.5
30-Apr-07,5.25,5.25
31-Mar-07,5.25,5.25
28-Feb-07,5.25,5.25
31-Jan-07,5.1705,5.25
31-Dec-06,5,5
30-Nov-06,4.9318,5
31-Oct-06,4.75,4.75
30-Sep-06,4.75,4.75
31-Aug-06,4.7273,4.75
31-Jul-06,4.5,4.5
30-Jun-06,4.5,4.5
31-May-06,4.5,4.5
30-Apr-06,4.5,4.5
31-Mar-06,4.5,4.5
28-Feb-06,4.5,4.5
31-Jan-06,4.5,4.5
31-Dec-05,4.5,4.5
30-Nov-05,4.5,4.5
31-Oct-05,4.5,4.5
30-Sep-05,4.5,4.5
31-Aug-05,4.5341,4.5
31-Jul-05,4.75,4.75
30-Jun-05,4.75,4.75
31-May-05,4.75,4.75
30-Apr-05,4.75,4.75
31-Mar-05,4.75,4.75
28-Feb-05,4.75,4.75
31-Jan-05,4.75,4.75
31-Dec-04,4.75,4.75
30-Nov-04,4.75,4.75
31-Oct-04,4.75,4.75
30-Sep-04,4.75,4.75
31-Aug-04,4.7143,4.75
31-Jul-04,4.5,4.5
30-Jun-04,4.4205,4.5
31-May-04,4.2237,4.25
30-Apr-04,4,4
31-Mar-04,4,4
29-Feb-04,3.9625,4
31-Jan-04,3.75,3.75
31-Dec-03,3.75,3.75
30-Nov-03,3.7125,3.75
31-Oct-03,3.5,3.5
30-Sep-03,3.5,3.5
31-Aug-03,3.5,3.5
31-Jul-03,3.5761,3.5
30-Jun-03,3.75,3.75
31-May-03,3.75,3.75
30-Apr-03,3.75,3.75
31-Mar-03,3.75,3.75
28-Feb-03,3.7875,3.75
31-Jan-03,4,4
31-Dec-02,4,4
30-Nov-02,4,4
31-Oct-02,4,4
30-Sep-02,4,4
31-Aug-02,4,4
31-Jul-02,4,4
30-Jun-02,4,4
31-May-02,4,4
30-Apr-02,4,4
31-Mar-02,4,4
28-Feb-02,4,4
31-Jan-02,4,4
31-Dec-01,4,4
30-Nov-01,4.1136,4
31-Oct-01,4.5326,4.5
30-Sep-01,4.8875,4.75
31-Aug-01,5.0114,5
31-Jul-01,5.25,5.25
30-Jun-01,5.25,5.25
31-May-01,5.3214,5.25
30-Apr-01,5.5395,5.5
31-Mar-01,5.75,5.75
28-Feb-01,5.8125,5.75
31-Jan-01,6,6
31-Dec-00,6,6
30-Nov-00,6,6
31-Oct-00,6,6
30-Sep-00,6,6
31-Aug-00,6,6
31-Jul-00,6,6
30-Jun-00,6,6
31-May-00,6,6
30-Apr-00,6,6
31-Mar-00,6,6
29-Feb-00,5.9167,6
31-Jan-00,5.6625,5.75
31-Dec-99,5.5,5.5
30-Nov-99,5.4659,5.5
31-Oct-99,5.25,5.25
30-Sep-99,5.1932,5.25
31-Aug-99,5,5
31-Jul-99,5,5
30-Jun-99,5.0795,5
31-May-99,5.25,5.25
30-Apr-99,5.2875,5.25
31-Mar-99,5.5,5.5
28-Feb-99,5.575,5.5
31-Jan-99,6.0375,6
31-Dec-98,6.4167,6.25
30-Nov-98,6.8214,6.75
31-Oct-98,7.3068,7.25
30-Sep-98,7.5,7.5
31-Aug-98,7.5,7.5
31-Jul-98,7.5,7.5
30-Jun-98,7.4659,7.5
31-May-98,7.25,7.25
30-Apr-98,7.25,7.25
31-Mar-98,7.25,7.25
28-Feb-98,7.25,7.25
31-Jan-98,7.25,7.25
31-Dec-97,7.25,7.25
30-Nov-97,7.2125,7.25
31-Oct-97,7,7
30-Sep-97,7,7
31-Aug-97,6.95,7
31-Jul-97,6.6739,6.75
30-Jun-97,6.4524,6.5
31-May-97,6.2188,6.25
30-Apr-97,5.9375,5.9375
31-Mar-97,5.9375,5.9375
28-Feb-97,5.9375,5.9375
31-Jan-97,5.9375,5.9375
31-Dec-96,5.9375,5.9375
30-Nov-96,5.9375,5.9375
31-Oct-96,5.7092,5.9375
30-Sep-96,5.6875,5.6875
31-Aug-96,5.6875,5.6875
31-Jul-96,5.6875,5.6875
30-Jun-96,5.725,5.6875
31-May-96,5.9375,5.9375
30-Apr-96,5.9375,5.9375
31-Mar-96,5.9821,5.9375
29-Feb-96,6.125,6.125
31-Jan-96,6.2614,6.125
31-Dec-95,6.4803,6.375
30-Nov-95,6.625,6.625
31-Oct-95,6.625,6.625
30-Sep-95,6.625,6.625
31-Aug-95,6.625,6.625
31-Jul-95,6.625,6.625
30-Jun-95,6.625,6.625
31-May-95,6.625,6.625
30-Apr-95,6.625,6.625
31-Mar-95,6.625,6.625
28-Feb-95,6.6,6.625
31-Jan-95,6.125,6.125
31-Dec-94,6.025,6.125
30-Nov-94,5.625,5.625
31-Oct-94,5.625,5.625
30-Sep-94,5.4659,5.625
31-Aug-94,5.125,5.125
31-Jul-94,5.125,5.125
30-Jun-94,5.125,5.125
31-May-94,5.125,5.125
30-Apr-94,5.125,5.125
31-Mar-94,5.125,5.125
28-Feb-94,5.1875,5.125
31-Jan-94,5.375,5.375
31-Dec-93,5.375,5.375
30-Nov-93,5.7386,5.375
31-Oct-93,5.875,5.875
30-Sep-93,5.875,5.875
31-Aug-93,5.875,5.875
31-Jul-93,5.875,5.875
30-Jun-93,5.875,5.875
31-May-93,5.875,5.875
30-Apr-93,5.875,5.875
31-Mar-93,5.875,5.875
28-Feb-93,5.875,5.875
31-Jan-93,6.675,5.875
31-Dec-92,6.875,6.875
30-Nov-92,7.3036,6.875
31-Oct-92,8.375,7.875
30-Sep-92,9.5568,8.875
31-Aug-92,9.875,9.875
31-Jul-92,9.875,9.875
30-Jun-92,9.875,9.875
31-May-92,9.9013,9.875
30-Apr-92,10.375,10.375
31-Mar-92,10.375,10.375
29-Feb-92,10.375,10.375
31-Jan-92,10.375,10.375
31-Dec-91,10.375,10.375
30-Nov-91,10.375,10.375
31-Oct-91,10.375,10.375
30-Sep-91,10.4226,10.375
31-Aug-91,10.875,10.875
31-Jul-91,11.0707,10.875
30-Jun-91,11.375,11.375
31-May-91,11.756,11.375
30-Apr-91,12.0655,11.875
31-Mar-91,12.75,12.375
28-Feb-91,13.525,12.875
31-Jan-91,13.875,13.875
31-Dec-90,13.875,13.875
30-Nov-90,13.875,13.875
31-Oct-90,14.0924,13.875
30-Sep-90,14.875,14.875
31-Aug-90,14.875,14.875
31-Jul-90,14.875,14.875
30-Jun-90,14.875,14.875
31-May-90,14.875,14.875
30-Apr-90,14.875,14.875
31-Mar-90,14.875,14.875
28-Feb-90,14.875,14.875
31-Jan-90,14.875,14.875
31-Dec-89,14.875,14.875
30-Nov-89,14.875,14.875
31-Oct-89,14.6705,14.875
30-Sep-89,13.7783,13.75
31-Aug-89,13.7543,13.8438
31-Jul-89,13.75,13.75
30-Jun-89,13.75,13.75
31-May-89,13.0417,13.75
30-Apr-89,12.875,12.875
31-Mar-89,12.875,12.875
28-Feb-89,12.875,12.875
31-Jan-89,12.875,12.875
31-Dec-88,12.875,12.875
30-Nov-88,12.0568,12.875
31-Oct-88,11.875,11.875
30-Sep-88,11.875,11.875
31-Aug-88,10.9432,11.875
31-Jul-88,9.8512,10.375
30-Jun-88,8.2841,8.875
31-May-88,7.625,7.375
30-Apr-88,7.9539,7.875
31-Mar-88,8.6359,8.375
29-Feb-88,8.875,8.875
31-Jan-88,8.375,8.375
31-Dec-87,8.4226,8.375
30-Nov-87,8.9226,8.875
31-Oct-87,9.7386,9.375
30-Sep-87,9.875,9.875
31-Aug-87,9.725,9.875
31-Jul-87,8.875,8.875
30-Jun-87,8.875,8.875
31-May-87,8.9803,8.875
30-Apr-87,9.8,9.375
31-Mar-87,10.2614,9.875
28-Feb-87,10.875,10.875
31-Jan-87,10.875,10.875
31-Dec-86,10.875,10.875
30-Nov-86,10.875,10.875
31-Oct-86,10.4402,10.875
30-Sep-86,9.875,9.875
31-Aug-86,9.875,9.875
31-Jul-86,9.875,9.875
30-Jun-86,9.875,9.875
31-May-86,10.25,9.875
30-Apr-86,10.8523,10.375
31-Mar-86,12.0066,11.375
28-Feb-86,12.375,12.375
31-Jan-86,11.9659,12.375
31-Dec-85,11.375,11.375
30-Nov-85,11.375,11.375
31-Oct-85,11.375,11.375
30-Sep-85,11.375,11.375
31-Aug-85,11.375,11.375
31-Jul-85,11.962,11.375
30-Jun-85,12.375,12.375
31-May-85,12.375,12.375
30-Apr-85,12.675,12.375
31-Mar-85,13.6369,12.875
28-Feb-85,13.875,13.875
31-Jan-85,11.375,13.875
31-Dec-84,9.5,9.5
